n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
100,50,2,0.05,0,4,False,False,True,True,True,0.2858849451134589,0.7141150548865411,0,4.233559120975877
100,50,2,0.05,1,4,False,False,True,True,True,0.2942063693390645,0.7057936306609355,0,4.233559120975877
100,50,2,0.05,2,2,False,True,True,True,True,0.5554141015456906,0.4445858984543094,0,4.233559120975877
100,50,3,0.05,0,2,False,True,True,True,True,0.5878425834458925,0.4121574165541075,0,4.259460088170787
100,50,3,0.05,1,2,False,True,True,True,True,0.6148790976933725,0.3851209023066275,0,4.259460088170787
100,50,3,0.05,2,2,False,True,True,True,True,0.6290940874007988,0.3709059125992012,0,4.259460088170787
100,50,4,0.05,0,2,False,True,True,True,True,0.6494253162956924,0.3505746837043075,0,4.7948793326168095
100,50,4,0.05,1,2,False,True,True,True,True,0.6598037972766609,0.340196202723339,0,4.7948793326168095
100,50,4,0.05,2,2,False,True,True,True,True,0.661019629847519,0.3389803701524809,0,4.7948793326168095
100,50,1,0.15,0,1,True,True,True,True,True,0.2433715967202786,0.7566284032797214,1,7.472736614799448
100,50,1,0.15,1,1,True,True,True,True,True,0.2828480342497936,0.7171519657502063,1,7.472736614799448
100,50,1,0.15,2,1,True,True,True,True,True,0.2930921978988431,0.7069078021011569,1,7.472736614799448
100,50,2,0.15,0,1,True,True,True,True,True,0.3567065123839197,0.6432934876160803,1,5.428723414931885
100,50,2,0.15,1,1,True,True,True,True,True,0.4089668231110903,0.5910331768889097,1,5.428723414931885
100,50,2,0.15,2,1,True,True,True,True,True,0.4304149857110554,0.5695850142889445,1,5.428723414931885
100,50,3,0.15,0,2,False,True,True,True,True,0.3259383000469849,0.6740616999530151,0,7.176566596170255
100,50,3,0.15,1,2,False,True,True,True,True,0.3601969200955001,0.6398030799044999,0,7.176566596170255
100,50,3,0.15,2,2,False,True,True,True,True,0.3712758015746477,0.6287241984253523,0,7.176566596170255
100,50,4,0.15,0,2,False,True,True,True,True,0.3760001497645064,0.6239998502354935,0,6.684913906173787
100,50,4,0.15,1,2,False,True,True,True,True,0.4443339522834635,0.5556660477165365,0,6.684913906173787
100,50,4,0.15,2,2,False,True,True,True,True,0.4537914300791939,0.5462085699208061,0,6.684913906173787
100,200,1,0.05,0,1,True,True,True,True,True,0.7476862704764093,0.2523137295235906,1,1.215283844761284
100,200,1,0.05,1,1,True,True,True,True,True,0.7914135892216422,0.2085864107783578,1,1.215283844761284
100,200,1,0.05,2,1,True,True,True,True,True,0.7996242400351308,0.2003757599648692,1,1.215283844761284
100,200,2,0.05,0,1,True,True,True,True,True,0.7288656694308807,0.2711343305691193,1,1.1105988455272866
100,200,2,0.05,1,1,True,True,True,True,True,0.7590411820370842,0.2409588179629158,1,1.1105988455272866
