n,S,rep,ncand,tref,kind,metric,true_rank,top_rf,corr_neg_rf,candidate_gen_s,score_s,unique_units
30,5000,0,200,0.1,wide,q10_z,41,12,0.5570389721038947,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,q20_z,28,14,0.8381395698425482,3.4767487049102783,0.3478853702545166,802
20,10000,0,180,0.1,single,sum_equal,14,8,0.971232215465521,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,sum_invflow,37,8,0.9727399214924105,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,sum_sqrtinv,22,8,0.9730741907609236,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,sum_balance,41,8,0.9728664964084395,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,sum_balance_sqrt,17,8,0.9731713456933887,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,flow_z_mean,63,8,0.9313544352630493,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,bottleneck_raw,6,2,0.8563869648173461,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,bottleneck_z,31,2,0.1905526078494863,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,q10_z,52,8,0.6118169145985201,3.852294683456421,1.214836835861206,482
20,10000,0,180,0.1,single,q20_z,91,10,0.7090291106171555,3.852294683456421,1.214836835861206,482
30,10000,0,150,0.1,single,sum_equal,14,2,0.9827636341716627,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,sum_invflow,8,2,0.9720203747638393,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,sum_sqrtinv,6,2,0.9765581794138806,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,sum_balance,7,2,0.9755987087916966,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,sum_balance_sqrt,11,2,0.9792718528980531,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,flow_z_mean,24,2,0.9784999330680144,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,bottleneck_raw,4,2,0.9248476542150944,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,bottleneck_z,15,2,0.8356924159995849,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,q10_z,18,2,0.8640600803749481,4.996082305908203,0.5814507007598877,652
30,10000,0,150,0.1,single,q20_z,27,8,0.9217697127016762,4.996082305908203,0.5814507007598877,652
30,30000,0,120,0.1,single,sum_equal,20,2,0.9646185780574822,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,sum_invflow,19,2,0.9635716382654859,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,sum_sqrtinv,19,2,0.9649703541522812,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,sum_balance,17,2,0.9655083414584824,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,sum_balance_sqrt,20,2,0.9658687996274232,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,flow_z_mean,48,12,0.9189268158588659,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,bottleneck_raw,8,2,0.9487636427433205,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,bottleneck_z,18,12,0.44311997700572403,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,q10_z,42,14,0.43179602059998984,2.7814035415649414,1.499952793121338,564
30,30000,0,120,0.1,single,q20_z,51,12,0.6701401493050017,2.7814035415649414,1.499952793121338,564
