step,parsimony_before,parsimony_after,parsimony_diff,logl_before,logl_after,logl_diff,rf_before,rf_after,rf_diff
447,113547,113585,38,-467889,-467366,522.694,194,194,0
448,113585,113768,183,-467366,-468604,-1237.37,194,194,0
449,113768,113759,-9,-468604,-468800,-195.862,194,194,0
450,113759,113755,-4,-468800,-468274,526.12,194,194,0
451,113755,113822,67,-468274,-468295,-21.0465,194,194,0
454,113822,113804,-18,-468295,-468213,81.3636,194,194,0
455,113804,113957,153,-468213,-468368,-154.279,194,194,0
456,113957,114100,143,-468368,-468376,-7.95412,194,194,0
457,114100,114267,167,-468376,-468559,-183.399,194,194,0
458,114267,114399,132,-468559,-468927,-368.089,194,194,0
459,114399,114515,116,-468927,-469333,-406.463,194,194,0
460,114515,114559,44,-469333,-469194,139.34,194,194,0
461,114559,114764,205,-469194,-470445,-1250.66,194,194,0
462,114764,114683,-81,-470445,-470125,319.404,194,194,0
463,114683,114697,14,-470125,-470613,-487.846,194,194,0
464,114697,114736,39,-470613,-471164,-551.07,194,194,0
465,114736,114758,22,-471164,-471425,-260.208,194,194,0
466,114758,114572,-186,-471425,-469632,1792.01,194,194,0
467,114572,114629,57,-469632,-469580,52.4323,194,194,0
468,114629,114419,-210,-469580,-468859,721.122,194,194,0
469,114419,114615,196,-468859,-469826,-966.827,194,194,0
470,114615,114516,-99,-469826,-467909,1916.86,194,194,0
471,114516,114482,-34,-467909,-468117,-207.94,194,194,0
472,114482,114352,-130,-468117,-467780,337.116,194,194,0
473,114352,114363,11,-467780,-467999,-219.327,194,194,0
474,114363,114294,-69,-467999,-468310,-310.491,194,194,0
475,114294,113891,-403,-468310,-467525,784.549,194,194,0
476,113891,113945,54,-467525,-467625,-99.6892,194,194,0
477,113945,113873,-72,-467625,-466165,1459.78,194,194,0
478,113873,113995,122,-466165,-466276,-111.366,194,194,0
479,113995,114126,131,-466276,-467434,-1157.36,194,194,0
480,114126,114120,-6,-467434,-466238,1195.37,194,194,0
481,114120,114113,-7,-466238,-466328,-89.3061,194,194,0
482,114113,113914,-199,-466328,-466052,275.305,194,194,0
483,113914,114035,121,-466052,-466244,-192.009,194,194,0
484,114035,114049,14,-466244,-466377,-132.957,194,194,0
485,114049,114089,40,-466377,-466401,-23.359,194,194,0
486,114089,114055,-34,-466401,-466519,-118.873,194,194,0
487,114055,114092,37,-466519,-466537,-17.565,194,194,0
488,114092,114016,-76,-466537,-467792,-1254.75,194,194,0
489,114016,113958,-58,-467792,-467650,141.688,194,194,0
490,113958,114076,118,-467650,-467404,245.738,194,194,0
491,114076,113907,-169,-467404,-467481,-76.1701,194,194,0
