unit_id,logical_edge_id,hybrid_group,path_option,segment_index,segment_from,segment_to,edge_flow
S_m0004_a0002_j0000,upper_arm,S_m0004_a0002_j0000:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0002_j0000,upper_arm,S_m0004_a0002_j0000:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0002_j0000,left_arm,S_m0004_a0002_j0000:left_arm,base,0,branch,left,2
S_m0004_a0002_j0000,right_arm,S_m0004_a0002_j0000:right_arm,base,0,branch,right,2
S_m0004_a0002_j0001,upper_arm,S_m0004_a0002_j0001:upper_arm,short,0,upper,branch,4
S_m0004_a0002_j0001,upper_arm,S_m0004_a0002_j0001:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0002_j0001,upper_arm,S_m0004_a0002_j0001:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0002_j0001,left_arm,S_m0004_a0002_j0001:left_arm,base,0,branch,left,2
S_m0004_a0002_j0001,right_arm,S_m0004_a0002_j0001:right_arm,base,0,branch,right,2
S_m0004_a0002_j0002,upper_arm,S_m0004_a0002_j0002:upper_arm,short,0,upper,branch,4
