unit_id,logical_edge_id,endpoint_a,endpoint_b,edge_flow
S_m0012_a0001_j0001,upper_arm,upper,branch,12
S_m0012_a0001_j0001,left_arm,branch,left,1
S_m0012_a0001_j0001,right_arm,branch,right,11
S_m0012_a0002_j0000,upper_arm,upper,branch,12
S_m0012_a0002_j0000,left_arm,branch,left,2
S_m0012_a0002_j0000,right_arm,branch,right,10
S_m0012_a0002_j0001,upper_arm,upper,branch,12
S_m0012_a0002_j0001,left_arm,branch,left,2
S_m0012_a0002_j0001,right_arm,branch,right,10
S_m0012_a0003_j0000,upper_arm,upper,branch,12
S_m0012_a0003_j0000,left_arm,branch,left,3
S_m0012_a0003_j0000,right_arm,branch,right,9
S_m0012_a0003_j0001,upper_arm,upper,branch,12
S_m0012_a0003_j0001,left_arm,branch,left,3
S_m0012_a0003_j0001,right_arm,branch,right,9
S_m0012_a0004_j0000,upper_arm,upper,branch,12
S_m0012_a0004_j0000,left_arm,branch,left,4
S_m0012_a0004_j0000,right_arm,branch,right,8
S_m0012_a0004_j0001,upper_arm,upper,branch,12
S_m0012_a0004_j0001,left_arm,branch,left,4
S_m0012_a0004_j0001,right_arm,branch,right,8
S_m0012_a0005_j0000,upper_arm,upper,branch,12
S_m0012_a0005_j0000,left_arm,branch,left,5
S_m0012_a0005_j0000,right_arm,branch,right,7
S_m0012_a0005_j0001,upper_arm,upper,branch,12
S_m0012_a0005_j0001,left_arm,branch,left,5
S_m0012_a0005_j0001,right_arm,branch,right,7
S_m0012_a0006_j0000,upper_arm,upper,branch,12
S_m0012_a0006_j0000,left_arm,branch,left,6
S_m0012_a0006_j0000,right_arm,branch,right,6
S_m0012_a0006_j0001,upper_arm,upper,branch,12
S_m0012_a0006_j0001,left_arm,branch,left,6
S_m0012_a0006_j0001,right_arm,branch,right,6
S_m0013_a0001_j0000,upper_arm,upper,branch,13
S_m0013_a0001_j0000,left_arm,branch,left,1
S_m0013_a0001_j0000,right_arm,branch,right,12
S_m0013_a0001_j0001,upper_arm,upper,branch,13
S_m0013_a0001_j0001,left_arm,branch,left,1
S_m0013_a0001_j0001,right_arm,branch,right,12
S_m0013_a0002_j0000,upper_arm,upper,branch,13
S_m0013_a0002_j0000,left_arm,branch,left,2
S_m0013_a0002_j0000,right_arm,branch,right,11
S_m0013_a0002_j0001,upper_arm,upper,branch,13
S_m0013_a0002_j0001,left_arm,branch,left,2
S_m0013_a0002_j0001,right_arm,branch,right,11
S_m0013_a0003_j0000,upper_arm,upper,branch,13
S_m0013_a0003_j0000,left_arm,branch,left,3
S_m0013_a0003_j0000,right_arm,branch,right,10
S_m0013_a0003_j0001,upper_arm,upper,branch,13
S_m0013_a0003_j0001,left_arm,branch,left,3
S_m0013_a0003_j0001,right_arm,branch,right,10
S_m0013_a0004_j0000,upper_arm,upper,branch,13
S_m0013_a0004_j0000,left_arm,branch,left,4
S_m0013_a0004_j0000,right_arm,branch,right,9
S_m0013_a0004_j0001,upper_arm,upper,branch,13
S_m0013_a0004_j0001,left_arm,branch,left,4
S_m0013_a0004_j0001,right_arm,branch,right,9
S_m0013_a0005_j0000,upper_arm,upper,branch,13
S_m0013_a0005_j0000,left_arm,branch,left,5
S_m0013_a0005_j0000,right_arm,branch,right,8
S_m0013_a0005_j0001,upper_arm,upper,branch,13
S_m0013_a0005_j0001,left_arm,branch,left,5
S_m0013_a0005_j0001,right_arm,branch,right,8
S_m0013_a0006_j0000,upper_arm,upper,branch,13
S_m0013_a0006_j0000,left_arm,branch,left,6
S_m0013_a0006_j0000,right_arm,branch,right,7
S_m0013_a0006_j0001,upper_arm,upper,branch,13
S_m0013_a0006_j0001,left_arm,branch,left,6
S_m0013_a0006_j0001,right_arm,branch,right,7
S_m0014_a0001_j0000,upper_arm,upper,branch,14
S_m0014_a0001_j0000,left_arm,branch,left,1
S_m0014_a0001_j0000,right_arm,branch,right,13
S_m0014_a0001_j0001,upper_arm,upper,branch,14
S_m0014_a0001_j0001,left_arm,branch,left,1
S_m0014_a0001_j0001,right_arm,branch,right,13
S_m0014_a0002_j0000,upper_arm,upper,branch,14
S_m0014_a0002_j0000,left_arm,branch,left,2
S_m0014_a0002_j0000,right_arm,branch,right,12
S_m0014_a0002_j0001,upper_arm,upper,branch,14
S_m0014_a0002_j0001,left_arm,branch,left,2
S_m0014_a0002_j0001,right_arm,branch,right,12
S_m0014_a0003_j0000,upper_arm,upper,branch,14
S_m0014_a0003_j0000,left_arm,branch,left,3
S_m0014_a0003_j0000,right_arm,branch,right,11
S_m0014_a0003_j0001,upper_arm,upper,branch,14
S_m0014_a0003_j0001,left_arm,branch,left,3
S_m0014_a0003_j0001,right_arm,branch,right,11
S_m0014_a0004_j0000,upper_arm,upper,branch,14
S_m0014_a0004_j0000,left_arm,branch,left,4
S_m0014_a0004_j0000,right_arm,branch,right,10
S_m0014_a0004_j0001,upper_arm,upper,branch,14
S_m0014_a0004_j0001,left_arm,branch,left,4
S_m0014_a0004_j0001,right_arm,branch,right,10
S_m0014_a0005_j0000,upper_arm,upper,branch,14
S_m0014_a0005_j0000,left_arm,branch,left,5
S_m0014_a0005_j0000,right_arm,branch,right,9
S_m0014_a0005_j0001,upper_arm,upper,branch,14
S_m0014_a0005_j0001,left_arm,branch,left,5
S_m0014_a0005_j0001,right_arm,branch,right,9
S_m0014_a0006_j0000,upper_arm,upper,branch,14
S_m0014_a0006_j0000,left_arm,branch,left,6
