parent_unit,parent_port,child_unit,option_index,edge_flow,parent_upper_flow,child_upper_flow,connection_kind,router_count,router_stage,switch_id,switch_state
S_m0006_a0001_j0001,left,R_m0001_L001_W00054,0,1,6,1,compact_benes_enter,1,0,R1_S0_P54,straight
S_m0006_a0001_j0001,left,R_m0001_L001_W00055,1,1,6,1,compact_benes_enter,1,0,R1_S0_P54,cross
S_m0006_a0001_j0002,left,R_m0001_L001_W00055,0,1,6,1,compact_benes_enter,1,0,R1_S0_P54,straight
S_m0006_a0001_j0002,left,R_m0001_L001_W00054,1,1,6,1,compact_benes_enter,1,0,R1_S0_P54,cross
S_m0006_a0001_j0003,left,R_m0001_L001_W00056,0,1,6,1,compact_benes_enter,1,0,R1_S0_P56,straight
S_m0006_a0001_j0003,left,R_m0001_L001_W00057,1,1,6,1,compact_benes_enter,1,0,R1_S0_P56,cross
S_m0006_a0001_j0004,left,R_m0001_L001_W00057,0,1,6,1,compact_benes_enter,1,0,R1_S0_P56,straight
S_m0006_a0001_j0004,left,R_m0001_L001_W00056,1,1,6,1,compact_benes_enter,1,0,R1_S0_P56,cross
S_m0007_a0001_j0000,left,R_m0001_L001_W00058,0,1,7,1,compact_benes_enter,1,0,R1_S0_P58,straight
S_m0007_a0001_j0000,left,R_m0001_L001_W00059,1,1,7,1,compact_benes_enter,1,0,R1_S0_P58,cross
S_m0007_a0001_j0001,left,R_m0001_L001_W00059,0,1,7,1,compact_benes_enter,1,0,R1_S0_P58,straight
S_m0007_a0001_j0001,left,R_m0001_L001_W00058,1,1,7,1,compact_benes_enter,1,0,R1_S0_P58,cross
S_m0007_a0001_j0002,left,R_m0001_L001_W00060,0,1,7,1,compact_benes_enter,1,0,R1_S0_P60,straight
S_m0007_a0001_j0002,left,R_m0001_L001_W00061,1,1,7,1,compact_benes_enter,1,0,R1_S0_P60,cross
S_m0007_a0001_j0003,left,R_m0001_L001_W00061,0,1,7,1,compact_benes_enter,1,0,R1_S0_P60,straight
S_m0007_a0001_j0003,left,R_m0001_L001_W00060,1,1,7,1,compact_benes_enter,1,0,R1_S0_P60,cross
S_m0008_a0001_j0000,left,R_m0001_L001_W00062,0,1,8,1,compact_benes_enter,1,0,R1_S0_P62,straight
S_m0008_a0001_j0000,left,R_m0001_L001_W00063,1,1,8,1,compact_benes_enter,1,0,R1_S0_P62,cross
S_m0008_a0001_j0001,left,R_m0001_L001_W00063,0,1,8,1,compact_benes_enter,1,0,R1_S0_P62,straight
S_m0008_a0001_j0001,left,R_m0001_L001_W00062,1,1,8,1,compact_benes_enter,1,0,R1_S0_P62,cross
S_m0008_a0001_j0002,left,R_m0001_L001_W00064,0,1,8,1,compact_benes_enter,1,0,R1_S0_P64,straight
S_m0008_a0001_j0002,left,R_m0001_L001_W00065,1,1,8,1,compact_benes_enter,1,0,R1_S0_P64,cross
S_m0009_a0001_j0000,left,R_m0001_L001_W00065,0,1,9,1,compact_benes_enter,1,0,R1_S0_P64,straight
S_m0009_a0001_j0000,left,R_m0001_L001_W00064,1,1,9,1,compact_benes_enter,1,0,R1_S0_P64,cross
S_m0009_a0001_j0001,left,R_m0001_L001_W00066,0,1,9,1,compact_benes_enter,1,0,R1_S0_P66,straight
S_m0009_a0001_j0001,left,R_m0001_L001_W00067,1,1,9,1,compact_benes_enter,1,0,R1_S0_P66,cross
S_m0009_a0001_j0002,left,R_m0001_L001_W00067,0,1,9,1,compact_benes_enter,1,0,R1_S0_P66,straight
S_m0009_a0001_j0002,left,R_m0001_L001_W00066,1,1,9,1,compact_benes_enter,1,0,R1_S0_P66,cross
S_m0010_a0001_j0000,left,R_m0001_L001_W00068,0,1,10,1,compact_benes_enter,1,0,R1_S0_P68,straight
S_m0010_a0001_j0000,left,R_m0001_L001_W00069,1,1,10,1,compact_benes_enter,1,0,R1_S0_P68,cross
S_m0010_a0001_j0001,left,R_m0001_L001_W00069,0,1,10,1,compact_benes_enter,1,0,R1_S0_P68,straight
S_m0010_a0001_j0001,left,R_m0001_L001_W00068,1,1,10,1,compact_benes_enter,1,0,R1_S0_P68,cross
S_m0010_a0001_j0002,left,R_m0001_L001_W00070,0,1,10,1,compact_benes_enter,1,0,R1_S0_P70,straight
S_m0010_a0001_j0002,left,R_m0001_L001_W00071,1,1,10,1,compact_benes_enter,1,0,R1_S0_P70,cross
S_m0011_a0001_j0000,left,R_m0001_L001_W00071,0,1,11,1,compact_benes_enter,1,0,R1_S0_P70,straight
S_m0011_a0001_j0000,left,R_m0001_L001_W00070,1,1,11,1,compact_benes_enter,1,0,R1_S0_P70,cross
S_m0011_a0001_j0001,left,R_m0001_L001_W00072,0,1,11,1,compact_benes_enter,1,0,R1_S0_P72,straight
S_m0011_a0001_j0001,left,R_m0001_L001_W00073,1,1,11,1,compact_benes_enter,1,0,R1_S0_P72,cross
S_m0012_a0001_j0000,left,R_m0001_L001_W00073,0,1,12,1,compact_benes_enter,1,0,R1_S0_P72,straight
S_m0012_a0001_j0000,left,R_m0001_L001_W00072,1,1,12,1,compact_benes_enter,1,0,R1_S0_P72,cross
S_m0012_a0001_j0001,left,R_m0001_L001_W00074,0,1,12,1,compact_benes_enter,1,0,R1_S0_P74,straight
S_m0012_a0001_j0001,left,R_m0001_L001_W00075,1,1,12,1,compact_benes_enter,1,0,R1_S0_P74,cross
S_m0013_a0001_j0000,left,R_m0001_L001_W00075,0,1,13,1,compact_benes_enter,1,0,R1_S0_P74,straight
S_m0013_a0001_j0000,left,R_m0001_L001_W00074,1,1,13,1,compact_benes_enter,1,0,R1_S0_P74,cross
S_m0013_a0001_j0001,left,R_m0001_L001_W00076,0,1,13,1,compact_benes_enter,1,0,R1_S0_P76,straight
S_m0013_a0001_j0001,left,R_m0001_L001_W00077,1,1,13,1,compact_benes_enter,1,0,R1_S0_P76,cross
S_m0014_a0001_j0000,left,R_m0001_L001_W00077,0,1,14,1,compact_benes_enter,1,0,R1_S0_P76,straight
